region_name,region_kr_name,continent,iso_country
Canillo Parish,카닐료 교구,EU,AD
Encamp Parish,엔캠프 교구,EU,AD
La Massana Parish,라마사나 교구,EU,AD
Ordino Parish,오르디노 교구,EU,AD
Andorra la Vella Parish,안도라라베야 교구,EU,AD
Escaldes-Engordany Parish,에스칼데스-엥고르다니 교구,EU,AD
Umm al-Quwain Emirate,움 알 쿠와인 토후국,AS,AE
Balkh Province,발흐 주,AS,AF
Bamiyan Province,바미안 주,AS,AF
Badghis Province,바드기스주,AS,AF
Badakhshan Province,바다흐샨 주,AS,AF
Baghlan Province,바글란주,AS,AF
Daykundi Province,다이쿤디 주,AS,AF
Farah Province,파라주,AS,AF
Faryab Province,파리얍 주,AS,AF
Ghazni Province,가즈니 주,AS,AF
Helmand Province,헬만드 주,AS,AF
Herat Province,헤라트주,AS,AF
Jowzjan Province,조우즈잔 주,AS,AF
Kabul Province,카불 주,AS,AF
Kandahar Province,칸다하르주,AS,AF
Kapisa Province,카피사 주,AS,AF
Kunduz Province,쿤두즈 주,AS,AF
Khost Province,코스트 주,AS,AF
Laghman Province,라그만주,AS,AF
Logar Province,로가 주,AS,AF
Nangarhar Province,낭가르하르주,AS,AF
Nimruz Province,님루즈 주,AS,AF
Nurestan Province,누레스탄 주,AS,AF
Panjshir Province,판시르 주,AS,AF
Parwan Province,파르완 주,AS,AF
Paktia Province,팍티아 주,AS,AF
Paktika Province,팍티카 주,AS,AF
Samangan Province,사만간 주,AS,AF
Sar-e Pol Province,사르에 폴 주,AS,AF
Takhar Province,타카르 주,AS,AF
Wardak Province,와르닥 주,AS,AF
Zabul Province,자불 주,AS,AF
Saint George Parish,세인트 조지 교구,NA,AG
Saint John Parish,세인트 존 교구,NA,AG
Saint Mary Parish,세인트 메리 교구,NA,AG
Saint Paul Parish,세인트 폴 교구,NA,AG
Saint Peter Parish,성 베드로 교구,NA,AG
Saint Philip Parish,세인트 필립 교구,NA,AG
Barbuda Dependency,바부다 의존성,NA,AG
Redonda Dependency,레돈다 의존성,NA,AG
Redonda,레돈다,NA,AG
Berat County,베라트 카운티,EU,AL
Elbasan County,엘바산 카운티,EU,AL
Fier County,피어 카운티,EU,AL
Tirana County,티라나 카운티,EU,AL
Bengo Province,벤고주,AF,AO
Benguela Province,벵겔라주,AF,AO
Cabinda Province,카빈다 주,AF,AO
Cuando Cubango Province,쿠안도쿠방고주,AF,AO
Cunene Province,쿠네네 주,AF,AO
Cuanza Norte Province,쿠안자 노르테 주,AF,AO
Cuanza Sul Province,쿠안자 술 주,AF,AO
Huambo Province,Huambo 지방,AF,AO
Lunda Norte Province,룬다노르테주,AF,AO
Lunda Sul Province,룬다 술 주,AF,AO
Luanda Province,루안다 주,AF,AO
Moxico Province,목시코 주,AF,AO
Zaire Province,자이르 주,AF,AO
Salta Province,살타 주,SA,AR
Buenos Aires Province,부에노스아이레스 주,SA,AR
Buenos Aires (Autonomous City),부에노스아이레스(자치시),SA,AR
La Rioja Province,라리오하 주,SA,AR
Chaco Province,차코 주,SA,AR
La Pampa Province,라팜파 주,SA,AR
Misiones Province,미시오네스 주,SA,AR
Formosa Province,포모사 주,SA,AR
Tierra del Fuego Province,티에라델푸에고 주,SA,AR
Santa Cruz Province,산타 크루즈 주,SA,AR
Eastern District,동부지구,OC,AS
Western District,서부지구,OC,AS
Burgenland,부르겐란트,EU,AT
Salzburg,잘츠부르크,EU,AT
Vorarlberg,포어아를베르크,EU,AT
Australian Antarctic Territory,호주 남극 영토,OC,AU
Australian Capital Territory,호주 수도 특별구,OC,AU
New South Wales,뉴 사우스 웨일즈,OC,AU
Northern Territory,노던 테리토리,OC,AU
Queensland,퀸즈랜드,OC,AU
South Australia,남호주,OC,AU
Tasmania,태즈메이니아,OC,AU
Victoria,빅토리아,OC,AU
Western Australia,웨스턴 오스트레일리아,OC,AU
Ali Bayramli District,알리 바이람리 지구,AS,AZ
Abseron District,압세론 지구,AS,AZ
Agstafa District,아그스타파 지구,AS,AZ
Agjabadi District,아그자바디 지구,AS,AZ
Agdam District,아그담 지구,AS,AZ
Agdash District,아그다시 지구,AS,AZ
Agsu District,아수구,AS,AZ
Astara District,아스타라 지구,AS,AZ
Baku (city),바쿠(도시),AS,AZ
Babak District,바박 지구,AS,AZ
Balakan District,발라칸 지구,AS,AZ
Barda District,바르다 지구,AS,AZ
Beylagan District,베일라간 지구,AS,AZ
Bilasuvar District,빌라수바르 지구,AS,AZ
Cabrayll District,카브레이 지구,AS,AZ
Calilabad District,칼리라바드 지구,AS,AZ
Culfa District,컬파 지구,AS,AZ
Daskasan District,다스카산 지구,AS,AZ
Davaci District,다바치 지구,AS,AZ
Fuzuli District,푸줄리 지구,AS,AZ
Gadabay District,가다베이 지구,AS,AZ
Goranboy District,고란보이 지구,AS,AZ
Goychay District,고이차이 지구,AS,AZ
Hajigabul District,하지가불지구,AS,AZ
Imisli District,이미슬리 지구,AS,AZ
Ismayilli District,이스마일리 지구,AS,AZ
Kalbacar District,칼바카르 지구,AS,AZ
Kurdamir District,쿠르다미르 지구,AS,AZ
Lankaran District,란카란 지구,AS,AZ
Lacin District,라신 지구,AS,AZ
Lerik District,레릭 지구,AS,AZ
Masally District,마살리 지구,AS,AZ
Mingacevir District,밍가체비르 지구,AS,AZ
Naftalan District,나프탈란 지구,AS,AZ
Neftcala District,네프트칼라 지구,AS,AZ
Nakhchivan Autonomous Republic,나히치반 자치공화국,AS,AZ
Oguz District,오구즈 지구,AS,AZ
Ordubad District,오르두바드 지구,AS,AZ
Qabala District,카발라 지구,AS,AZ
Qax District,콰스 지구,AS,AZ
Qazax District,카작스 지구,AS,AZ
Quba District,쿠바 지구,AS,AZ
Qubadli District,쿠바들리 지구,AS,AZ
Qobustan District,코부스탄 지구,AS,AZ
Qusar District,쿠사르 지구,AS,AZ
Shaki District,샤키 지구,AS,AZ
Sabirabad District,사비라바드 지구,AS,AZ
Sadarak District,사다락지구,AS,AZ
Sahbuz District,사부즈 지구,AS,AZ
Salyan District,살얀 지구,AS,AZ
Sarur District,사루르 지구,AS,AZ
Saatli District,사틀리 지구,AS,AZ
Siyazan District,시야잔 지구,AS,AZ
Samkir District,삼키르 지구,AS,AZ
Sumqayit (city),숨카잇(도시),AS,AZ
Samaxi District,사맥시 지구,AS,AZ
Samux District,사무 지구,AS,AZ
Susa District,수사지구,AS,AZ
Tartar District,타르타르 지구,AS,AZ
Tovuz District,토부즈 지구,AS,AZ
Ucar District,우카르 지구,AS,AZ
Xankandi District,잔칸디 지구,AS,AZ
Khachmaz District,하치마즈 지구,AS,AZ
Xanlar District,잔라르 지구,AS,AZ
Khojaly District,호잘리 지구,AS,AZ
Khizi District,키지 지구,AS,AZ
Xocavand District,Xocavand 지구,AS,AZ
Yardimli District,야르딤리 지구,AS,AZ
Yevlax (city),예블락스(도시),AS,AZ
Zangilan District,장기란 지구,AS,AZ
Zaqatala District,자카탈라 지구,AS,AZ
Zardab District,자르다브 지구,AS,AZ
Federation of Bosnia and Herzegovina,보스니아 헤르체고비나 연방,EU,BA
Republika Srpska,레푸블리카 스르프스카,EU,BA
Christ Church,그리스도 교회,NA,BB
Saint Andrew,세인트 앤드류,NA,BB
Saint George,세인트 조지,NA,BB
Saint James,세인트 제임스,NA,BB
Saint John,세인트 존,NA,BB
Saint Joseph,성 요셉,NA,BB
Saint Lucy,세인트 루시,NA,BB
Saint Michael,세인트 마이클,NA,BB
Saint Peter,성 베드로,NA,BB
Saint Philip,세인트 필립,NA,BB
Saint Thomas,세인트 토마스,NA,BB
Bam Province,밤 주,AF,BF
Banwa Province,반와 주,AF,BF
Bougouriba Province,부구우리바주,AF,BF
Boulgou Province,불구주,AF,BF
Comoe Province,코메 지방,AF,BF
Ganzourgou Province,간조르구 주,AF,BF
Gnagna Province,그나냐 주,AF,BF
Gourma Province,구르마주,AF,BF
Houet Province,우에 주,AF,BF
Ioba Province,이오바주,AF,BF
Kadiogo Province,카디오고 주,AF,BF
Komondjari Province,코몬자리 주,AF,BF
Kompienga Province,콤피엔가 주,AF,BF
Kossi Province,코시 주,AF,BF
Kouritenga Province,쿠리텡가 주,AF,BF
Loroum Province,로룸주,AF,BF
Mouhoun Province,무훈 지방,AF,BF
Namentenga Province,나멘텡가 주,AF,BF
Nahouri Province,나후리 주,AF,BF
Nayala Province,나얄라주,AF,BF
Noumbiel Province,누비엘 주,AF,BF
Oubritenga Province,오브리텡가 주,AF,BF
Oudalan Province,우달란주,AF,BF
Poni Province,포니주,AF,BF
Sissili Province,시실리 주,AF,BF
Sanmatenga Province,산마텡가 주,AF,BF
Soum Province,숨 주,AF,BF
Sourou Province,소루주,AF,BF
Tapoa Province,타포아 주,AF,BF
Yagha Province,야가주,AF,BF
Yatenga Province,야텡가 주,AF,BF
Ziro Province,지로 주,AF,BF
Zondoma Province,존도마 주,AF,BF
Blagoevgrad Province,블라고예브그라드주,EU,BG
Burgas Province,부르가스 주,EU,BG
Varna Province,바르나 주,EU,BG
Veliko Tarnovo Province,벨리코타르노보주,EU,BG
Vidin Province,비딘주,EU,BG
Vratsa Province,브라차주,EU,BG
Gabrovo Province,가브로보 주,EU,BG
Dobrich Province,도브리치 주,EU,BG
Kardzali Province,카르잘리 주,EU,BG
Lovec Province,로베츠주,EU,BG
Montana Province,몬타나 주,EU,BG
Pazardzhik Province,파자르지크 주,EU,BG
Pernik Province,페르니크 주,EU,BG
Pleven Province,플레벤 주,EU,BG
Plovdiv Province,플로브디프 주,EU,BG
Razgrad Province,라즈그라드 주,EU,BG
Ruse Province,루세 주,EU,BG
Silistra Province,실리스트라주,EU,BG
Sliven Province,슬리벤 주,EU,BG
Smoljan Province,스몰랸 주,EU,BG
Sofia Province,소피아 지방,EU,BG
Stara Zagora Province,스타라자고라주,EU,BG
Haskovo Province,하스코보주,EU,BG
Sumen Province,수멘성,EU,BG
Yambol Province,얌볼 주,EU,BG
Capital Governorate,수도권,AS,BH
Southern Governorate,남부 주,AS,BH
Muharraq Governorate,무하라크 주,AS,BH
Central Governorate,중앙정부,AS,BH
Northern Governorate,북부 주,AS,BH
Bubanza Province,부반자 주,AF,BI
Bujumbura Rural Province,부줌부라 농촌 지역,AF,BI
Bujumbura Mairie Province,부줌부라 마이리 주,AF,BI
Bururi Province,부루리 주,AF,BI
Cankuzo Province,칸쿠조 주,AF,BI
Cibitoke Province,치비토케주,AF,BI
Gitega Province,기테가 주,AF,BI
Kirundo Province,키룬도 주,AF,BI
Karuzi Province,카루지 주,AF,BI
Kayanza Province,카얀자 주,AF,BI
Makamba Province,마캄바주,AF,BI
Muramvya Province,무람비아 주,AF,BI
Mwaro Province,음와로 주,AF,BI
Muyinga Province,무잉가 주,AF,BI
Ngozi Province,응고지 주,AF,BI
Rumonge Province,루몽게 주,AF,BI
Rutana Province,루타나 주,AF,BI
Ruyigi Province,루이기 주,AF,BI
Atakora Department,아타코라주,AF,BJ
Alibori Department,알리보리 부서,AF,BJ
Atlantique Department,대서양학과,AF,BJ
Borgou Department,보르고우 부서,AF,BJ
Collines Department,콜린스 부서,AF,BJ
Donga Department,동아학과,AF,BJ
Kouffo Department,쿠포주,AF,BJ
Littoral Department,연안부,AF,BJ
Mono Department,모노 부서,AF,BJ
Oueme Department,오우에메학과,AF,BJ
Plateau Department,고원 부서,AF,BJ
Zou Department,조우 부서,AF,BJ
Belait District,블라잇 지구,AS,BN
Brunei-Muara District,브루나이무아라 지구,AS,BN
Temburong District,템부롱 지구,AS,BN
Tutong District,투통 지구,AS,BN
El Beni Department,엘베니 주,SA,BO
Cochabamba Department,코차밤바 주,SA,BO
Chuquisaca Department,추키사카 주,SA,BO
La Paz Department,라파스 주,SA,BO
Pando Department,판도학과,SA,BO
Oruro Department,오루로학과,SA,BO
Santa Cruz Department,산타 크루즈 주,SA,BO
Tarija Department,타리자 주,SA,BO
Acre,에이커,SA,BR
Alagoas,알라고아스,SA,BR
Amazonas,아마조나스,SA,BR
Bahia,바이아,SA,BR
Distrito Federal,연방 지구,SA,BR
Minas Gerais,미나스 제라이스,SA,BR
Mato Grosso do Sul,마투 그로소 두 술,SA,BR
Mato Grosso,마투 그로소,SA,BR
Pernambuco,페르남부쿠,SA,BR
Rio de Janeiro,리오 데 자네이로,SA,BR
Rio Grande do Norte,리오 그란데 두 노르테,SA,BR
Roraima,로라이마,SA,BR
Rio Grande do Sul,히우그란지두술,SA,BR
Santa Catarina,산타카타리나,SA,BR
Sergipe,세르지페,SA,BR
Tocantins,토칸틴,SA,BR
Bimini,비미니,NA,BS
Black Point,블랙 포인트,NA,BS
Berry Islands,베리 제도,NA,BS
Central Eleuthera,센트럴 엘레우테라,NA,BS
Cat Island,고양이섬,NA,BS
Crooked Island and Long Cay,크룩드 아일랜드(Crooked Island)와 롱케이(Long Cay),NA,BS
Central Abaco,센트럴 아바코,NA,BS
Central Andros,센트럴 안드로스,NA,BS
East Grand Bahama,이스트 그랜드 바하마,NA,BS
Exuma,엑수마,NA,BS
City of Freeport,프리포트 시,NA,BS
Grand Cay,그랜드 케이,NA,BS
Harbour Island,하버 아일랜드,NA,BS
Hope Town,호프타운,NA,BS
Inagua,이나과,NA,BS
Long Island,롱아일랜드,NA,BS
Mangrove Cay,맹그로브 케이,NA,BS
Mayaguana,마야과나,NA,BS
Moore's Island,무어스 아일랜드,NA,BS
North Eleuthera,노스 엘루테라,NA,BS
North Abaco,노스 아바코,NA,BS
New Providence,뉴프로비던스,NA,BS
North Andros,노스 안드로스,NA,BS
Rum Cay,럼 케이,NA,BS
Ragged Island,래기드 아일랜드,NA,BS
South Andros,사우스 안드로스,NA,BS
South Eleuthera,사우스 일류서라,NA,BS
South Abaco,사우스 아바코,NA,BS
San Salvador,산살바도르,NA,BS
Spanish Wells,스패니시 웰스,NA,BS
West Grand Bahama,웨스트 그랜드 바하마,NA,BS
Paro District,파로지구,AS,BT
Chukha District,추카 지구,AS,BT
Haa District,하 지구,AS,BT
Samtse District,삼체 지구,AS,BT
Thimphu District,팀푸 지구,AS,BT
Tsirang District,치랑 지구,AS,BT
Dagana District,다가나 지구,AS,BT
Punakha District,푸나카 지구,AS,BT
Wangdue Phodrang District,왕두에 포드랑 지구,AS,BT
Sarpang District,사르팡 지구,AS,BT
Trongsa District,트롱사 지구,AS,BT
Bumthang District,범탕지구,AS,BT
Zhemgang District,젬강 지구,AS,BT
Trashigang District,트라시강 지구,AS,BT
Mongar District,몽가 지구,AS,BT
Pemagatshel District,페마가첼 지구,AS,BT
Lhuntse District,룬체 지구,AS,BT
Samdrup Jongkha,삼드럽 종카,AS,BT
Gasa District,가사지구,AS,BT
Trashiyangtse District,Trashiyangtse 지구,AS,BT
Chobe District,초베지구,AF,BW
Francistown (city),프랜시스타운(도시),AF,BW
Gabarone (city),가바로네(도시),AF,BW
Ghanzi District,간지 지구,AF,BW
Jwaneng (town),Jwaneng(마을),AF,BW
Kgalagadi District,크갈라가디 지구,AF,BW
Kgatleng District,크가틀렝 지구,AF,BW
Kweneng District,크웨능 지구,AF,BW
Lobatse (town),로바체(마을),AF,BW
North East District,북동지구,AF,BW
North West District,노스 웨스트 지구,AF,BW
South East District,남동 지구,AF,BW
Southern District,남부 지구,AF,BW
Selebi-Phikwe (town),셀레비피퀘(마을),AF,BW
Sowa (town),소와(마을),AF,BW
Belize District,벨리즈 지구,NA,BZ
Cayo District,카요 지구,NA,BZ
Corozal District,코로잘 지구,NA,BZ
Orange Walk District,오렌지 워크 지구,NA,BZ
Stann Creek District,스탠 크릭 지구,NA,BZ
Toledo District,톨레도 지구,NA,BZ
Alberta,앨버타,NA,CA
British Columbia,브리티시컬럼비아,NA,CA
Manitoba,매니토바,NA,CA
New Brunswick,뉴브런즈윅,NA,CA
Newfoundland and Labrador,뉴펀들랜드와 래브라도,NA,CA
Nova Scotia,노바스코샤,NA,CA
Northwest Territories,노스웨스트 준주,NA,CA
Nunavut,누나부트 준주,NA,CA
Ontario,온타리오,NA,CA
Prince Edward Island,프린스 에드워드 아일랜드,NA,CA
Saskatchewan,서스캐처원,NA,CA
Yukon,유콘,NA,CA
Haut-Congo Province,오콩고주,AF,CD
Haut-Katanga Province,오트카탕가주,AF,CD
Haut-Lomami Province,오로마미 주,AF,CD
Ituri Province,이투리 주,AF,CD
Kinshasa Province,킨샤사 주,AF,CD
Kongo-Central Province,콩고 중부 지방,AF,CD
Kwilu Province,크윌루 주,AF,CD
Kwango Province,광고주,AF,CD
Lomami Province,로마미 주,AF,CD
Lualaba Province,루알라바주,AF,CD
Maniema Province,마니에마 주,AF,CD
Mai-Ndombe Province,마이은돔베 주,AF,CD
Mongala Province,몽갈라 주,AF,CD
Nord-Kivu Province,노르키부 주,AF,CD
Nord-Ubangi Province,노르드우방이 주,AF,CD
Sankuru Province,산쿠루주,AF,CD
Sud-Kivu Province,수드키부 주,AF,CD
Sud-Ubangi Province,수드우방이 주,AF,CD
Tanganyika Province,탕가니카 주,AF,CD
Tshopo Province,초포 주,AF,CD
Tshuapa Province,추아파 주,AF,CD
Ouham,우함,AF,CF
Bamingui-Bangoran,바밍구이-방고란,AF,CF
Bangui,방기,AF,CF
Basse-Kotto,바스코토,AF,CF
Haute-Kotto,오트코토,AF,CF
Haut-Mbomou,오트음보무(Haut-Mbomou),AF,CF
Lobaye,로바예,AF,CF
Mbomou,음보무,AF,CF
Ombella-M'Poko,옴벨라-음포코,AF,CF
Ouaka,와카,AF,CF
Vakaga,바카가,AF,CF
Bouenza Department,부엔자주,AF,CG
Pool Department,풀 부서,AF,CG
Sangha Department,상하학과,AF,CG
Plateaux Department,고원학과,AF,CG
Cuvette-Ouest Department,큐베트-서부 부서,AF,CG
Kouilou Department,코이루 주,AF,CG
Likouala Department,리쿠알라 부서,AF,CG
Cuvette Department,큐벳 부서,AF,CG
Niari Department,니아리학과,AF,CG
Brazzaville Department,브라자빌 주,AF,CG
Aargau,아르가우,EU,CH
Appenzell Innerrhoden,아펜첼 이너로덴,EU,CH
Appenzell Ausserrhoden,아펜첼 아우세로덴,EU,CH
Bern,베른,EU,CH
Fribourg,프리부르,EU,CH
Glarus,글라루스,EU,CH
Jura,쥐라,EU,CH
Nidwalden,니드발덴,EU,CH
Obwalden,오브발덴,EU,CH
St. Gallen,세인트 갈렌,EU,CH
Schaffhausen,샤프하우젠,EU,CH
Solothurn,졸로투른,EU,CH
Schwyz,슈비츠,EU,CH
Thurgau,투르가우,EU,CH
Ticino,티치노,EU,CH
Uri,유리,EU,CH
Vaud,보,EU,CH
Zug,추크,EU,CH
Abidjan (autonomous district),아비장(자치구),AF,CI
Bas-Sassandra District,바사산드라 지구,AF,CI
Lacs District,락스 지구,AF,CI
Lagunes DIstrict,라구네스 지구,AF,CI
Savanes District,사바네스 지구,AF,CI
Woroba District,워로바 지구,AF,CI
Yamoussoukro (autonomous district),야무수크로(자치구),AF,CI
Zanzan District,잔잔구,AF,CI
Antofagasta Region,안토파가스타 지역,SA,CL
Arica and Parinacota Region,아리카 및 파리나코타 지역,SA,CL
Atacama Region,아타카마 지역,SA,CL
Coquimbo Region,코킴보 지역,SA,CL
Los Lagos Region,로스 라고스 지역,SA,CL
Magallanes Region,마가야네스 지역,SA,CL
Maule Region,마울 지역,SA,CL
Santiago Metropolitan Region,산티아고 수도권,SA,CL
Adamaoua Region,Adamaoua 지역,AF,CM
Centre Region,중앙 지역,AF,CM
Far North Region,극북 지역,AF,CM
East Region,동부 지역,AF,CM
Littoral Region,연안 지역,AF,CM
North Region,북부 지역,AF,CM
North-West Region,북서부 지역,AF,CM
West Region,서부지역,AF,CM
South Region,남부 지역,AF,CM
South-West Region,남서부 지역,AF,CM
Beijing Municipality,베이징시,AS,CN
Tianjin Municipality,천진시,AS,CN
Hebei Province,허베이성,AS,CN
Shanxi Province,산시성,AS,CN
Inner Mongolia Autonomous Region,내몽골자치구,AS,CN
Liaoning Province,랴오닝성,AS,CN
Jilin Province,길림성,AS,CN
Heilongjiang Province,헤이룽장성,AS,CN
Shanghai Municipality,상하이 자치제,AS,CN
Jiangsu Province,장쑤성,AS,CN
Zhejiang Province,저장성,AS,CN
Anhui Province,안휘성,AS,CN
Fujian Province,푸젠성,AS,CN
Jiangxi Province,장시성,AS,CN
Shandong Province,산둥성,AS,CN
Henan Province,허난성,AS,CN
Hubei Province,후베이성,AS,CN
Hunan Province,후난성,AS,CN
Guangxi Autonomous Region,광시자치구,AS,CN
Hainan Province,하이난성,AS,CN
Chongqing Municipality,충칭시,AS,CN
Sichuan Province,쓰촨성,AS,CN
Guizhou Province,귀주성,AS,CN
Yunnan Province,윈난성,AS,CN
Shaanxi Province,산시성,AS,CN
Gansu Province,간쑤성,AS,CN
Qinghai Province,칭하이성,AS,CN
Ningxia Autonomous Region,닝샤자치구,AS,CN
Xinjiang Autonomous Region,신장자치구,AS,CN
Taiwan (disputed),대만 (논쟁),AS,CN
Hong Kong Special Administrative Region,홍콩특별행정구,AS,CN
Macau Special Administrative Region,마카오 특별행정구,AS,CN
Amazonas Department,아마조나스 부서,SA,CO
Arauca Department,아라우카주,SA,CO
Caldas Department,칼다스 부서,SA,CO
Casanare Department,카사나레학과,SA,CO
Cauca Department,카우카 부서,SA,CO
Cundinamarca Department,쿤디나마르카 주,SA,CO
Guaviare Department,과비아레 부서,SA,CO
Huila Department,후일라주,SA,CO
La Guajira Department,라과히라주,SA,CO
Magdalena Department,막달레나 주,SA,CO
Meta Department,메타 부서,SA,CO
Norte de Santander Department,노르테 데 산탄데르 주,SA,CO
Putumayo Department,푸투마요 학과,SA,CO
Quindio Department,퀸디오학과,SA,CO
Risaralda Department,리사랄다 부서,SA,CO
Santander Department,산탄데르주,SA,CO
Sucre Department,수크레 부서,SA,CO
Tolima Department,톨리마 주,SA,CO
Valle del Cauca Department,발레 델 카우카 주,SA,CO
Vichada Department,비차다 부서,SA,CO
Alajuela Province,알라후엘라 주,NA,CR
Cartago Province,카르타고 주,NA,CR
Guanacaste Province,과나카스테주,NA,CR
Heredia Province,에레디아 주,NA,CR
Puntarenas Province,푼타레나스 주,NA,CR
Matanzas Province,마탄자스주,NA,CU
Villa Clara Province,비야클라라주,NA,CU
Cienfuegos Province,시엔푸에고스 주,NA,CU
Las Tunas Province,라스 투나스 주,NA,CU
Granma Province,그란마 주,NA,CU
Santiago de Cuba Province,산티아고 데 쿠바 주,NA,CU
Artemisa Province,아르테미사 주,NA,CU
Mayabeque Province,마야베케 주,NA,CU
